f_matchNumber,f_teamNumber,f_numAutoZone,f_numStageBin,f_numStepBin,f_robotAuton,f_toteAuton,f_numOnStep,f_numOnTop,f_1_litter,f_1_can,f_1_ntotes,f_2_litter,f_2_can,f_2_ntotes,f_3_litter,f_3_can,f_3_ntotes,f_4_litter,f_4_can,f_4_ntotes,f_5_litter,f_5_can,f_5_ntotes,f_fouls,f_stacks,f_dead,f_tipped,f_tippedOtherRobot,f_morePlayerStation,timestamp,f_notes,f_scoutName
68,3512,0,0,0,false,false,0,0,false,false,0,false,false,0,false,false,0,false,false,0,false,false,0,0,0,false,false,false,true,1426524249112.000000,"",""
69,3512,0,0,0,false,false,0,0,false,false,0,false,false,0,false,false,0,false,false,0,false,false,0,0,0,false,false,false,true,1426524249116.000000,"",""
70,3512,0,0,0,false,false,0,0,false,false,0,false,false,0,false,false,0,false,false,0,false,false,0,0,0,false,false,false,true,1426524249119.000000,"",""
71,3512,0,0,0,false,false,0,0,false,false,0,false,false,0,false,false,0,false,false,0,false,false,0,0,0,false,false,false,true,1426524249122.000000,"",""
72,3512,0,0,0,false,false,0,0,false,false,0,false,false,0,false,false,0,false,false,0,false,false,0,0,0,false,false,false,true,1426524249125.000000,"",""
73,3512,0,0,0,false,false,0,0,false,false,0,false,false,0,false,false,0,false,false,0,false,false,0,0,0,false,false,false,true,1426524249128.000000,"",""
74,3512,0,0,0,false,false,0,0,false,false,0,false,false,0,false,false,0,false,false,0,false,false,0,0,0,false,false,false,true,1426524249131.000000,"",""
75,3512,0,0,0,false,false,0,0,false,false,0,false,false,0,false,false,0,false,false,0,false,false,0,0,0,false,false,false,true,1426524249135.000000,"",""
76,3512,0,0,0,false,false,0,0,false,false,0,false,false,0,false,false,0,false,false,0,false,false,0,0,0,false,false,false,true,1426524249138.000000,"",""
77,3512,0,0,0,false,false,0,0,false,false,0,false,false,0,false,false,0,false,false,0,false,false,0,0,0,false,false,false,true,1426524249142.000000,"",""
78,3512,0,0,0,false,false,0,0,false,false,0,false,false,0,false,false,0,false,false,0,false,false,0,0,0,false,false,false,true,1426524249145.000000,"",""
79,3512,0,0,0,false,false,0,0,false,false,0,false,false,0,false,false,0,false,false,0,false,false,0,0,0,false,false,false,true,1426524249148.000000,"",""
80,3512,0,0,0,false,false,0,0,false,false,0,false,false,0,false,false,0,false,false,0,false,false,0,0,0,false,false,false,true,1426524249152.000000,"",""
